"concentration_regime","hhi","hours_coordination","mkr_movilizado","n_lock_events","n_voters","participation_tier","spell_address","top1_share_pct","total_mkr","ts_lift","ts_propose","kappa_coord","whale_present","micro_spell","year","post_sky","log_kappa","log_mkr","log_hours"
"moderate_concentration",7016.04343916967,24.023056,41.5538,3,3,"small","0x53e4f0470fbf522617e16c21b1a4a68a6ad319b6",82.8581260919579,41.5538,2020-03-14 07:15:47,2020-03-13 07:14:24,998.2492644128,0,0,2020,0,6.90700426145186,3.75076915772978,3.21979763986617
"high_concentration",9982.63113688093,24.013611,2416.4,3,3,"medium","0x5274df1036ac52236df90a501aa2413ae88ccf9a",99.9130938586327,2416.4,2020-03-16 19:16:16,2020-03-15 19:15:27,58026.4896204,0,0,2020,0,10.9686721362179,7.79044786142536,3.21942011671452
"high_concentration",9479.04641814813,4.031389,41.1,2,2,"small","0x99ee7f998fcdc8e41ea0041898a7abec0dacda65",97.323600973236,41.1,2020-03-17 02:58:08,2020-03-16 22:56:15,165.6900879,0,0,2020,0,5.11613632728103,3.74004774068834,1.6156960891323
"high_concentration",10000,4.028333,1,1,1,"small","0x5051133a811bc46cc12cf3255b67495070e68e14",100,1,2020-04-09 22:00:43,2020-04-09 17:59:01,4.028333,0,0,2020,0,1.61508851765189,0.693147180559945,1.61508851765189
"high_concentration",10000,12.031111,1.0003,1,1,"small","0xe4a2a3be09ac70ebf0c67cb020f6000fbbb61ead",100,1.0003,2020-05-01 01:58:27,2020-04-30 13:56:35,12.0347203333,0,0,2020,0,2.56761659209585,0.69329716931107,2.56733965227552
"moderate_concentration",4071.07129146531,12.0125,7.89048523607271,4,3,"small","0xa00b87b19d9891d6b828fd52240c82ed6f73a733",50.6939672317402,7.89048523607271,2020-05-03 04:08:31,2020-05-02 16:07:46,94.7844538983235,0,0,2020,0,4.56210039517308,2.18498163027166,2.56591043394109
"high_concentration",10000,12.007222,1.23749992120403,1,1,"small","0x5424f9c697ea41484e8e88a5bee7b00accdd7f79",100,1.23749992120403,2020-05-24 05:50:50,2020-05-23 17:50:24,14.8589362788793,0,0,2020,0,2.76373314452992,0.805359135950799,2.56550474166871
"high_concentration",10000,12.025833,1.58964859942841,1,1,"small","0x7cdf5614052c5dee27403acf58c0446a5b8cda84",100,1.58964859942841,2020-05-29 01:04:05,2020-05-28 13:02:32,19.11684858541,0,0,2020,0,3.00155770201979,0.951522190610274,2.56693453952921
"high_concentration",10000,12.001389,2.1702518356241,1,1,"small","0x076ceb2858dd7fe738cfeea797b5649fe99d7a32",100,2.1702518356241,2020-06-26 06:42:09,2020-06-25 18:42:04,26.0460365072888,0,0,2020,0,3.29754046987237,1.15381102814827,2.56505619790774
"moderate_concentration",6401.381229252,12.016944,1.621589,2,2,"small","0x898132b2173a6e1f669a7332b4f5e65fb4ad0d5a",76.4705612827911,1.621589,2020-07-04 09:18:21,2020-07-03 21:17:20,19.486544204016,0,0,2020,0,3.01976829034061,0.963780622482771,2.56625189340854
"moderate_concentration",5857.38226349808,12.014722,3.53552128798803,3,3,"small","0xc08ef39073ac83e49297e7c7b4d7f814f4c5560f",70.8020488663078,3.53552128798803,2020-07-07 03:49:17,2020-07-06 15:48:24,42.4783054002581,0,0,2020,0,3.7722620872584,1.51194002469828,2.56608117824914
"high_concentration",9690.61937255521,12.151111,2.2736156525917,2,2,"small","0x14b6c77a90424bfe061f3875b348fe803f629552",98.4283975191995,2.2736156525917,2020-07-20 03:17:08,2020-07-19 15:08:04,27.6269561659792,0,0,2020,0,3.35434879721562,1.18589507822504,2.57650624174699
"moderate_concentration",4999.40646697127,12.015556,10.0909518174407,3,3,"small","0x9337e566f20e06021f9d761656d3370311616a06",50.4407503823719,10.0909518174407,2020-07-23 04:58:35,2020-07-22 16:57:39,121.24839665576,0,0,2020,0,4.80605501297867,2.40612962431966,2.56614525747259
